dataset,pred_len,seq_len,period_len,rank,mse,mae
ETTh1,96,96,24,3,0.384627103805542,0.39061853289604187
ETTh1,96,192,24,3,0.3736121952533722,0.38841623067855835
ETTh1,96,336,24,3,0.36338484287261963,0.3865845799446106
ETTh1,96,720,24,3,0.3547053039073944,0.3844180107116699
ETTh1,192,96,24,4,0.4334193170070648,0.41979092359542847
ETTh1,192,192,24,4,0.4170774221420288,0.41322407126426697
ETTh1,192,336,24,4,0.42407095432281494,0.4257194995880127
ETTh1,192,720,24,4,0.39477741718292236,0.4081469476222992
ETTh1,336,96,24,4,0.47523754835128784,0.4399572014808655
ETTh1,336,192,24,4,0.45806121826171875,0.4369584023952484
ETTh1,336,336,24,4,0.4205610156059265,0.42177167534828186
ETTh1,336,720,24,4,0.4120802581310272,0.4368455708026886
ETTh1,720,96,24,2,0.46014198660850525,0.4542619287967682
ETTh1,720,192,24,2,0.4321228861808777,0.4433731436729431
ETTh1,720,336,24,2,0.4158012270927429,0.4374638795852661
ETTh1,720,720,24,2,0.4203794300556183,0.4431966245174408
