dataset,pred_len,P,R,n_seeds,mse_mean,mse_std,mse_cv_pct,mae_mean,mae_std
ETTh1,96,24,3,5,0.3547053039073944,0.0008318876455222173,0.234,0.3844180703163147,0.0003822599135957556
ETTh1,192,24,4,5,0.39477741718292236,0.0019207539711152556,0.486,0.4081469476222992,0.008404205769051081
ETTh1,336,24,4,5,0.4120802581310272,0.005695800564420708,1.362,0.4368455708026886,0.007404079423388566
ETTh1,720,24,2,5,0.4203794300556183,0.0017535964476892954,0.415,0.4431966245174408,0.006750770459044098
ETTh2,96,4,10,5,0.2742787003517151,0.001835714807783802,0.668,0.3368261754512787,0.0009111460793615517
ETTh2,192,8,8,5,0.33424699306488037,0.0016817039234415605,0.5,0.3743930459022522,0.0006854036599480478
ETTh2,336,12,10,5,0.355350136756897,0.0043075895907872756,1.2,0.3947471082210541,0.00225495150316585
ETTh2,720,12,10,5,0.3788190186023712,0.006221755005143659,1.629,0.4218846559524536,0.002741741515994078
ETTm1,96,2,10,5,0.3169924805164337,0.0007612947768565272,0.241,0.3577630460262298,0.0006384742213727999
ETTm1,192,12,9,5,0.34018680357933046,0.0014606383870684034,0.428,0.3718033850193024,0.0015002384696519296
ETTm1,336,12,9,5,0.36605909628868096,0.0006563434557352434,0.179,0.3862471163272857,0.0003889295849342124
ETTm1,720,12,9,5,0.41429381775856017,0.0031179306047153465,0.749,0.4129775702953339,0.0014973078531005648
ETTm2,96,2,10,5,0.16467761993408203,0.00022926462784581567,0.139,0.25533193349838257,0.00039845994829348816
ETTm2,192,2,10,5,0.218937948346138,0.00014249031328005893,0.065,0.2934403121471405,0.00019331605323830874
ETTm2,336,2,10,5,0.27086788415908813,0.00033112616652852946,0.122,0.3281617760658264,0.00024085874968215822
ETTm2,720,8,9,5,0.35146260261535645,0.0008623277030157762,0.245,0.3792758285999298,0.00021662997408409385
electricity,96,8,12,5,0.13740897774314878,0.0002207498153651932,0.161,0.2332811141204834,0.00047086459328494
electricity,192,24,11,5,0.15110242247676848,0.0005787599735319175,0.382,0.244679473698616,0.0009262340437574459
electricity,336,24,11,5,0.16585615019798275,0.00018415596929501906,0.111,0.2602070419635772,0.00041835336071410696
electricity,720,24,10,5,0.20459566421794886,6.446294861763644e-05,0.032,0.29299306740760804,0.00017388973068465215
traffic,96,24,8,5,0.3889296397323608,0.00023873887247656672,0.061,0.26641338813591003,0.00052537978490662
traffic,192,24,10,5,0.398939130695343,0.0006779369026787628,0.17,0.2701676288261413,0.0009353600753505356
traffic,336,24,12,5,0.4122755893535614,0.0008547796851359082,0.207,0.27677742867851254,0.0013603223865571936
traffic,720,24,10,5,0.4469970979194641,0.00028776926633660723,0.064,0.2976272726802826,0.0004720812484933832
weather,96,2,8,5,0.16822928608036036,0.0005611307493395913,0.333,0.22223437613010406,0.0005849097508512408
weather,192,2,8,5,0.20949247691631313,0.001143250674384128,0.54,0.2576281640281677,0.0010361657230181498
weather,336,2,8,5,0.25652982243537905,0.0007726123210624333,0.301,0.29441118611717225,0.0007180328332292484
weather,720,2,8,5,0.31930407126426697,0.0007047378024226868,0.221,0.3388093460216522,0.0004676994915014881
