dataset,pred_len,n_seeds,mse_mean,mse_std
ETTh1,96,5,0.35499999999999987,0.0008318876455222281
ETTh1,192,5,0.395,0.0019207539711152697
ETTh1,336,5,0.4119999999999999,0.005695800564420712
ETTh1,720,5,0.41999999999999993,0.0017535964476893093
ETTh2,96,5,0.27399999999999997,0.001835714807783802
ETTh2,192,5,0.33399999999999996,0.00168170392344155
ETTh2,336,5,0.35499999999999987,0.0043075895907872756
ETTh2,720,5,0.379,0.006221755005143652
ETTm1,96,5,0.317,0.0007612947768565249
ETTm1,192,5,0.33999999999999997,0.001460638387068397
ETTm1,336,5,0.366,0.0006563434557352584
ETTm1,720,5,0.414,0.0031179306047153456
ETTm2,96,5,0.16499999999999995,0.0002292646278458178
ETTm2,192,5,0.21899999999999994,0.0001424903132800682
ETTm2,336,5,0.2709999999999999,0.00033112616652853396
ETTm2,720,5,0.35099999999999987,0.0008623277030157825
electricity,96,5,0.13699999999999996,0.00022074981536517133
electricity,192,5,0.15099999999999997,0.0005787599735319196
electricity,336,5,0.16599999999999993,0.00018415596929501483
electricity,720,5,0.205,6.446294861763713e-05
traffic,96,5,0.389,0.0002387388724765709
traffic,192,5,0.399,0.0006779369026787568
traffic,336,5,0.4119999999999999,0.0008547796851359243
traffic,720,5,0.44699999999999995,0.00028776926633660495
weather,96,5,0.16799999999999998,0.0005611307493395828
weather,192,5,0.20899999999999994,0.0011432506743841364
weather,336,5,0.2559999999999999,0.0007726123210624209
weather,720,5,0.31899999999999995,0.0007047378024226845
