dataset,pred_len,seed,mse,mae
ETTh1,96,2021,0.3547268319129943,0.3844180703163147
ETTh1,96,2022,0.3554531145095824,0.3845268189907074
ETTh1,96,2023,0.3544703531265258,0.3846195638179779
ETTh1,96,2024,0.3562108385562896,0.3849005401134491
ETTh1,96,2025,0.3541388618946074,0.3838609457015991
ETTh1,192,2021,0.3943085443973541,0.4081469476222992
ETTh1,192,2022,0.393529452085495,0.4070105254650116
ETTh1,192,2023,0.3982491564750672,0.4261705875396728
ETTh1,192,2024,0.3937605094909668,0.4069404304027557
ETTh1,192,2025,0.395152337551117,0.4075401127338409
ETTh1,336,2021,0.405794697523117,0.4368455708026886
ETTh1,336,2022,0.415204870223999,0.423616498708725
ETTh1,336,2023,0.4179662640094756,0.4234392642974853
ETTh1,336,2024,0.4150446231365203,0.4228608608245849
ETTh1,336,2025,0.4059895451068878,0.4367820024490356
ETTh1,720,2021,0.4181469810009002,0.4431966245174408
ETTh1,720,2022,0.4180769455432891,0.4429583549499511
ETTh1,720,2023,0.4216824305057525,0.4429023265838623
ETTh1,720,2024,0.4213173222541809,0.4451012909412384
ETTh1,720,2025,0.420776320695877,0.458497554063797
ETTh2,96,2021,0.2733467628955841,0.3368261754512787
ETTh2,96,2022,0.2724181523323059,0.335878849029541
ETTh2,96,2023,0.2771221807003021,0.3383283913135528
ETTh2,96,2024,0.2740086426734924,0.3368150889873504
ETTh2,96,2025,0.2731042613983154,0.3364138603210449
ETTh2,192,2021,0.3318998243808746,0.3743930459022522
ETTh2,192,2022,0.335340115070343,0.3760477304458618
ETTh2,192,2023,0.3355022993087769,0.3754831254482269
ETTh2,192,2024,0.3324945297241211,0.3745312094688415
ETTh2,192,2025,0.3347632315158844,0.3752341270446777
ETTh2,336,2021,0.3514501023292541,0.3947471082210541
ETTh2,336,2022,0.3562765288352965,0.3964631855487823
ETTh2,336,2023,0.3519620168209075,0.3947842419147491
ETTh2,336,2024,0.361936764717102,0.4002260863780975
ETTh2,336,2025,0.3533745872974395,0.3958052694797516
ETTh2,720,2021,0.3758611359596253,0.4218846559524536
ETTh2,720,2022,0.3900922217369079,0.4280748963356018
ETTh2,720,2023,0.3759652950763703,0.4219445288181305
ETTh2,720,2024,0.3759727456569671,0.4216378331184387
ETTh2,720,2025,0.3771086015701294,0.4224534928798675
ETTm1,96,2021,0.3183264656066894,0.3588928878307342
ETTm1,96,2022,0.3165318293571472,0.3573197722434997
ETTm1,96,2023,0.3168512506484985,0.3575183749198913
ETTm1,96,2024,0.3168265147209167,0.3575477004051208
ETTm1,96,2025,0.316463939666748,0.3575364947319031
ETTm1,192,2021,0.338543906211853,0.370601624250412
ETTm1,192,2022,0.3394693875312805,0.371316134929657
ETTm1,192,2023,0.3390774273872375,0.3709171712398529
ETTm1,192,2024,0.3421788656711578,0.3743598461151123
ETTm1,192,2025,0.3407304131984711,0.3718221485614776
ETTm1,336,2021,0.3656273040771484,0.3859806358814239
ETTm1,336,2022,0.367137387752533,0.3866802155971527
ETTm1,336,2023,0.3654992136955261,0.3858973681926727
ETTm1,336,2024,0.3659179661273956,0.3866606950759887
ETTm1,336,2025,0.3658181283473969,0.3860166668891907
ETTm1,720,2021,0.4117306842803955,0.4117225408554077
ETTm1,720,2022,0.4138408079147338,0.4150828421115875
ETTm1,720,2023,0.4194001331329345,0.4140261709690094
ETTm1,720,2024,0.4127731397151947,0.4121985733509063
ETTm1,720,2025,0.4122552349567413,0.4118577241897583
ETTm2,96,2021,0.1649056130647659,0.2553319334983825
ETTm2,96,2022,0.1653309220075607,0.2554473876953125
ETTm2,96,2023,0.164815684556961,0.2552260756492615
ETTm2,96,2024,0.1651419603824615,0.2550638616085052
ETTm2,96,2025,0.1648058199882507,0.2544341087341308
ETTm2,192,2021,0.2189749779701233,0.2934403121471405
ETTm2,192,2022,0.2190051081180572,0.293198674917221
ETTm2,192,2023,0.2188873889446258,0.2929563820362091
ETTm2,192,2024,0.2188943626880645,0.2932715713977813
ETTm2,192,2025,0.219238162279129,0.2934050858020782
ETTm2,336,2021,0.2709400854110717,0.3281617760658264
ETTm2,336,2022,0.2709014317989349,0.3280340433120727
ETTm2,336,2023,0.2709902725219726,0.3280307650566101
ETTm2,336,2024,0.2715374431610107,0.328095406293869
ETTm2,336,2025,0.2706307671070098,0.327555388212204
